ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
433,Département de Maine-et-Loire,MAINE ET LOIRE,224900019,49,"838,257.00",Departement
472,Département de Meurthe et Moselle,MEURTHE ET MOSELLE,225400019,54,"745,453.00",Departement
157,Département de Vaucluse,VAUCLUSE,228400016,84,"572,613.00",Departement
519,Département des Bouches du Rhônes,DES BOUCHES DU RHONES,,,,Departement
246,Département des Hautes-Pyrénées,DES HAUTES PYRENEES,,,,Departement
650,Département des Hauts-de-Seine,DES HAUTS DE SEINE,,,,Departement
634,Département du Gard,DU GARD,,,,Departement
570,Département du Gers,DU GERS,,,,Departement
430,Département du Loir et Cher,DU LOIR ET CHER,,,,Departement
307,Département du Loiret,DU LOIRET,,,,Departement
321,Département du Rhône,DU RHONE,,,,Departement
374,Département du Val d'Oise,DU VAL D OISE,,,,Departement
761,Département du Var,DU VAR,,,,Departement
83,DF,DF,,,,
833,DGFIP,DGFIP,,,,
478,DGS-PMI de la CEA,DGS PMI DE LA CEA,,,,
137,Dijon métropole,DIJON METROPOLE,242100410,,"260,376.00",Metropole
152,Dijon métropole,DIJON METROPOLE,242100410,,"260,376.00",Metropole
423,Dijon métropole,DIJON METROPOLE,242100410,,"260,376.00",Metropole
758,Direction départemenale des territoires de la Haute-Marne,DIRECTION DEPARTEMENALE DES TERRITOIRES DE LA HAUTE MARNE,,,,
748,Direction générale des finances publiques,DIRECTION GENERALE DES FINANCES PUBLIQUES,,,,
918,draaf grand est,DRAAF GRAND EST,,,,
943,Dreal normandie,DREAL NORMANDIE,,,,
868,dsfg,DSFG,,,,
335,École Nationale d'Administration Publique (ENAP),ECOLE NATIONALE D ADMINISTRATION PUBLIQUE  ENAP,,,,
767,EPA Paris-Saclay,EPA PARIS SACLAY,,,,
393,EPCI,EPCI,,,,EPCI
329,ESMA,ESMA,,,,
493,Eure et Loir Ingénierie,EURE ET LOIR INGENIERIE,,,,
908,Eureden,EUREDEN,,,,
178,EUROMETROPOLE DE METZ,EUROMETROPOLE DE METZ,,,,Metropole
305,Eurométropole de Metz,EUROMETROPOLE DE METZ,,,,Metropole
441,Eurométropole de Strasbourg,EUROMETROPOLE DE STRASBOURG,246700488,,"510,718.00",Metropole
722,Eurométropole de Strasbourg,EUROMETROPOLE DE STRASBOURG,246700488,,"510,718.00",Metropole
888,Eurométropole de Strasbourg,EUROMETROPOLE DE STRASBOURG,246700488,,"510,718.00",Metropole
929,Evreux Portes de Normandie,EVREUX PORTES DE NORMANDIE,,,,EPCI
521,Expertise France (groupe AFD),EXPERTISE FRANCE  GROUPE AFD,,,,
984,Geo2France,GEOFRANCE,,,,
708,GeoRhena,GEORHENA,,,,
59,gip mission locale de saint dizier,GIP MISSION LOCALE DE SAINT DIZIER,,,,
626,Grand Auch Coeur de Gascogne,GRAND AUCH COEUR DE GASCOGNE,,,,EPCI
515,Grand Besançon Métropole,GRAND BESANCON METROPOLE,,,,Metropole
21,Grand Chambéry,GRAND CHAMBERY,200 069 110,73000,"125,778.00",Metropole
1014,Grand Paris Sud,GRAND PARIS SUD,,,,EPCI
419,Grand Poitiers Communauté Urbaine,GRAND POITIERS COMMUNAUTE URBAINE,,,,EPCI
98,GrandSoissons Agglomération,GRANDSOISSONS AGGLOMERATION,,,,EPCI
267,Grenoble-Alpes Métropole,GRENOBLE ALPES METROPOLE,200040715,,"452,707.00",Metropole
108,HAUTE-GARONNE INGENIERIE,HAUTE GARONNE INGENIERIE,,,,
539,ICRC,ICRC,,,,
271,IGN,IGN,,,,
597,IGN,IGN,,,,
489,Île-de-France Mobilités,ILE DE FRANCE MOBILITES,,,,
911,indépendant,INDEPENDANT,,,,
220,Infopro,INFOPRO,,,,
125,INFOPRO-DIGITAL,INFOPRO DIGITAL,,,,
219,INFOPRO-DIGITAL,INFOPRO DIGITAL,,,,
1007,INRAE,INRAE,,,,
448,Insee,INSEE,,,,
698,INSEE,INSEE,,,,
844,insee,INSEE,,,,
964,Insitu.app,INSITU APP,,,,
337,Inspection Générale des Finances,INSPECTION GENERALE DES FINANCES,,,,
966,Institut Paris Region,INSTITUT PARIS REGION,,,,
604,ISEE,ISEE,,,,
