ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
632,Conseil régional d'Ile-de-France,D ILE DE FRANCE,237 500 079,,,Region
633,Mairie de Pont de Claix,PONT DE CLAIX,213 803 174,38800,10792,Commune
634,Département du Gard,DU GARD,,,,Departement
638,COMMUNE DE LA COUDRAY,LA COUDRAY,212801104,28630,4220,Commune
640,Brest métropole,BREST METROPOLE,242900314,,215367,Metropole
643,COMMUNE DE COMBREUX,COMBREUX,214501017,45101,280,Commune
644,Mairie Beauce la Romaine,MAIRIE BEAUCE LA ROMAINE,200055390,41240,3556,Commune
645,Commune de Vandouvre-lès-Nancy,VANDOUVRE LES NANCY,215405473,54547,30223,Commune
647,CC du Pays de Lunel,CC DU PAYS DE LUNEL,243400520,,51565,EPCI
648,Syndicat Mixte du Pays Sancerre Sologne,SYNDICAT MIXTE DU PAYS SANCERRE SOLOGNE,,,,
650,Département des Hauts-de-Seine,DES HAUTS DE SEINE,,,,Departement
652,SMMAG,SMMAG,,,,
653,BORDEAUX METROPOLE,BORDEAUX METROPOLE,243300316,,824449,Metropole
655,Mairie de PORTS-sur-VIENNE,PORTS SUR VIENNE,213701873,37187,367,Commune
658,Région GUADELOUPE,REGION GUADELOUPE,,,,Region
662,SMCG,SMCG,,,,
664,Agence régionale de la biodiversité Occitanie,AGENCE REGIONALE DE LA BIODIVERSITE OCCITANIE,,,,
665,Seine Normandie Agglomération,SEINE NORMANDIE AGGLOMERATION,,,,EPCI
673,ddt de la marne,DDT DE LA MARNE,,,,
674,Commune de Vandœuvre-lès-Nancy,VANDOEUVRE LES NANCY,215405473,54547,30223,Commune
675,Département de la Haute-Marne,LA HAUTE MARNE,,,,Departement
683,Communauté de communes de Sélestat,CC DE SELESTAT,246700967,,37449,EPCI
685,CC DE LA MOIVRE A LA COOLE,CC DE LA MOIVRE A LA COOLE,200043438,,9979,EPCI
686,Communauté de Communes du Pays de Saverne,CC DU PAYS DE SAVERNE,200068112,,36559,EPCI
688,CCI Grand Est,CCI GRAND EST,,,,
689,SGARE Grand-Est (PFRIM),SGARE GRAND EST  PFRIM,,,,
690,CC Mad et Moselle,CC MAD ET MOSELLE,200070738,,20221,EPCI
691,Metz Métropole,METZ METROPOLE,200039865,,228793,Metropole
693,Agence économique régionale BFC,AGENCE ECONOMIQUE REGIONALE BFC,,,,
694,Parc Naturel Régional des Vosges du Nord,PARC NATUREL REGIONAL DES VOSGES DU NORD,,,,
696,Conseil départemental de la Marne,MARNE,225100015,51,578349,Departement
698,INSEE,INSEE,,,,
699,Conseil Départemental de la Meuse,MEUSE,225500016,55,189535,Departement
700,CCI Meuse Haute-Marne,CCI MEUSE HAUTE MARNE,,,,
701,CC Gérardmer Hautes Vosges,CC GERARDMER HAUTES VOSGES,200096642,,15042,EPCI
703,CC3F,CCF,,,,
704,Syndicat des Eaux et d'Assainissement Alsace-Moselle (SDEA),SYNDICAT DES EAUX ET D ASSAINISSEMENT ALSACE MOSELLE  SDEA,,,,
705,Chambre de commerce et d'industrie,CHAMBRE DE COMMERCE ET D INDUSTRIE,,,,
707,MAIRIE DE HUNDSBACH,HUNDSBACH,216801480,68148,367,Commune
708,GeoRhena,GEORHENA,,,,
710,SAINT-LOUIS Agglomération,SAINT LOUIS AGGLOMERATION,,,,EPCI
715,Wikimaginot,WIKIMAGINOT,,,,
722,Eurométropole de Strasbourg,EUROMETROPOLE DE STRASBOURG,246700488,,510718,Metropole
723,Conseil Départemental de Meurthe-et-Moselle,MEURTHE ET MOSELLE,225400019,54,745453,Departement
724,DDFIP51,DDFIP,,,,
725,SDIS52 = Pompiers du département 52,SDIS   POMPIERS DU DEPARTEMENT,,,,
727,Communauté de communes d ela vallée de kaysersberg,CC D ELA VALLEE DE KAYSERSBERG,,,,EPCI
728,Terres de Lorraine Urbanisme,TERRES DE LORRAINE URBANISME,,,,
730,SMICA,SMICA,,,,
731,DEPARTEMENT DE L'AUBE,L AUBE,,,,Departement
733,Conseil départemental de l'Ariège,ARIEGE,220900013,9,157339,Departement
737,RCO,RCO,,,,
738,DDT 88 (Direction Départementale des Territoires des Vosges),DDT   DIRECTION DEPARTEMENTALE DES TERRITOIRES DES VOSGES,,,,
743,Ville de Dieppe,VILLE DE DIEPPE,217602176,76217,28709,Commune
744,tyi,TYI,,,,
748,Direction générale des finances publiques,DIRECTION GENERALE DES FINANCES PUBLIQUES,,,,
749,Keolis,KEOLIS,,,,
750,Mairie de Wattrelos,WATTRELOS,215906504,59650,41070,Commune
755,CNFPT,CNFPT,,,,
757,SDIS88,SDIS,,,,
758,Direction départemenale des territoires de la Haute-Marne,DIRECTION DEPARTEMENALE DES TERRITOIRES DE LA HAUTE MARNE,,,,
760,Syndicat Mixte Moselle Aval,SYNDICAT MIXTE MOSELLE AVAL,,,,
761,Département du Var,DU VAR,,,,Departement
762,Covéa (GMF-MAAF-MMA),COVEA  GMF MAAF MMA,,,,
767,EPA Paris-Saclay,EPA PARIS SACLAY,,,,
770,DDETS67,DDETS,,,,
771,communauté de communes du Pays de Wissembourg,CC DU PAYS DE WISSEMBOURG,246700926,,16156,EPCI
772,Conseil Régional Centre-Val de Loire,CENTRE VAL DE LOIRE,234500023,24,2631844,Region
774,CCI Meuse Haute-Marne,CCI MEUSE HAUTE MARNE,,,,
775,Caisse des dépots,CAISSE DES DEPOTS,,,,
778,SIEM 51,SIEM,,,,
779,CC Pays Haut Val d'Alzette,CC PAYS HAUT VAL D ALZETTE,245701404,,,EPCI
781,mairie d'abbeville,ABBEVILLE,218000016,80001,23390,Commune
782,Mairie de NOTTONVILLE,NOTTONVILLE,212802839,28283,294,Commune
783,Mairie de MONTVALEZAN,MONTVALEZAN,217301761,73176,719,Commune
786,COMMUNE DE MAMOUDZOU,MAMOUDZOU,200008837,97611,72974,Commune
788,Conseil Départemental de l'Ariège,ARIEGE,220900013,9,157339,Departement
790,Agence Régionale du Numérique et de l'intelligence artificielle (ARNia),AGENCE REGIONALE DU NUMERIQUE ET DE L INTELLIGENCE ARTIFICIELLE  ARNIA,,,,
792,Conseil Départemental de la Haute-Garonne,HAUTE GARONNE,223100017,31,1423290,Departement
793,DEPARTEMANT REUNION,DEPARTEMANT REUNION,,,,Departement
795,Mairie de La Possession,LA POSSESSION,219740081,97408,33405,Commune
801,REGION REUNION,REGION REUNION,,,,Region
802,DDTM22,DDTM,,,,
803,Département de l'Hérault,L HERAULT,,,,Departement
804,ADEUPA,ADEUPA,,,,
805,Registre de preuve de covoiturage,REGISTRE DE PREUVE DE COVOITURAGE,,,,
807,Communauté d'agglomération Paris - Vallée de la Marne,CA PARIS   VALLEE DE LA MARNE,200057958,,229440,EPCI
